Account Name,DUAL-INCOME HOUSEHOLD WITH A CHILD
Account Number,______4898

Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01 Sep 2024,01 Sep 2024,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY SEP24,,,311057.44,697057.44
02 Sep 2024,02 Sep 2024,UPI/216310599954/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,645057.44
03 Sep 2024,03 Sep 2024,UPI/113785102719/WOW MOMO FOODS/AXIS,,403.94,,644653.50
04 Sep 2024,04 Sep 2024,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,626153.50
04 Sep 2024,04 Sep 2024,POS 4763XXXXXXXX4216 THIRD WAVE COFFEE,,301.37,,625852.13
05 Sep 2024,05 Sep 2024,ACH DR HDFC BANK HOME LOAN EMI SEP24,,38000.00,,587852.13
05 Sep 2024,05 Sep 2024,UPI/280445604021/UBER INDIA SYSTEMS/HDFC,,245.87,,587606.26
05 Sep 2024,05 Sep 2024,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1199.00,,586407.26
06 Sep 2024,06 Sep 2024,POS 5318XXXXXXXX3975 MCDONALDS INDIA PVT,,657.97,,585749.29
06 Sep 2024,06 Sep 2024,UPI/881594784047/ZERODHA BROKING MF SIP/ZERO,,35000.00,,550749.29
07 Sep 2024,07 Sep 2024,ACH DR NETFLIX ENTERTAINMENT SVC,,649.00,,550100.29
07 Sep 2024,07 Sep 2024,UPI/123854536753/RAPIDO BIKE TAXI/YESB,,283.29,,549817.00
07 Sep 2024,07 Sep 2024,UPI/866586259508/BOOKMYSHOW TICKETS/HDFC,,1232.53,,548584.47
08 Sep 2024,08 Sep 2024,POS 4767XXXXXXXX4167 HPCL PETROL PUMP,,2325.93,,546258.54
08 Sep 2024,08 Sep 2024,UPI/204814899034/BARBEQUE NATION HOSP/HDFC,,3929.24,,542329.30
08 Sep 2024,08 Sep 2024,UPI/221790562881/COUNTRY DELIGHT MILK/AXIS,,1143.13,,541186.17
08 Sep 2024,08 Sep 2024,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,4312.50,,536873.67
09 Sep 2024,09 Sep 2024,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,534423.67
09 Sep 2024,09 Sep 2024,POS 5317XXXXXXXX2242 CHAAYOS TEA CAFE,,368.38,,534055.29
09 Sep 2024,09 Sep 2024,UPI/149840912367/RAPIDO BIKE TAXI/YESB,,206.78,,533848.51
11 Sep 2024,11 Sep 2024,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,533663.51
11 Sep 2024,11 Sep 2024,UPI/348243489729/ZOMATO ONLINE ORDER/YESB,,1006.15,,532657.36
11 Sep 2024,11 Sep 2024,UPI/942796655193/RAPIDO BIKE TAXI/YESB,,222.17,,532435.19
12 Sep 2024,12 Sep 2024,UPI/388543821985/MAHANAGAR GAS BILL PAY/MGAS,,792.36,,531642.83
13 Sep 2024,13 Sep 2024,ATW-4610XXXXXXXX7078-HDFC BANK ATM CASH WITHDRAWAL,,10000.00,,521642.83
