HDFC BANK LTD
"Statement of account for Salaried professional, Bengaluru"
Account No,501006433012
Account Type,SAVINGS ACCOUNT

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/03/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY MAR25,,01/03/25,,184555.12,399055.12
01/03/25,POS 4138XXXXXXXX9639 STEAM GAMES VALVE CORP,,01/03/25,2401.72,,396653.40
01/03/25,UPI/366167761983/BARBEQUE NATION HOSP/HDFC,,01/03/25,2022.73,,394630.67
02/03/25,POS 4545XXXXXXXX2318 STEAM GAMES VALVE CORP,,02/03/25,854.49,,393776.18
02/03/25,UPI/527365296540/WOW MOMO FOODS/AXIS,,02/03/25,623.35,,393152.83
02/03/25,UPI/795756280091/NOBROKER PAY RENT LANDLORD/HDFC,,02/03/25,34000.00,,359152.83
04/03/25,UPI/739975844719/APOLLO PHARMACY/HDFC,,04/03/25,994.37,,358158.46
04/03/25,UPI/995519844144/RAPIDO BIKE TAXI/YESB,,04/03/25,143.23,,358015.23
05/03/25,ACH DR HDFC BANK HOME LOAN EMI MAR25,,05/03/25,21500.00,,336515.23
05/03/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/03/25,1199.00,,335316.23
06/03/25,UPI/595722754606/ZERODHA BROKING MF SIP/ZERO,,06/03/25,20000.00,,315316.23
07/03/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/03/25,649.00,,314667.23
08/03/25,POS 5579XXXXXXXX5655 HPCL PETROL PUMP,,08/03/25,3388.89,,311278.34
08/03/25,UPI/940236864850/COUNTRY DELIGHT MILK/AXIS,,08/03/25,868.46,,310409.88
08/03/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/03/25,1474.42,,308935.46
09/03/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/03/25,2450.00,,306485.46
09/03/25,UPI/169447675262/APOLLO PHARMACY/HDFC,,09/03/25,241.17,,306244.29
09/03/25,UPI/891048985946/BOOKMYSHOW TICKETS/HDFC,,09/03/25,1330.88,,304913.41
11/03/25,ACH DR SPOTIFY INDIA PREMIUM,,11/03/25,149.00,,304764.41
11/03/25,UPI/545513223383/LICIOUS MEAT DELIVERY/HDFC,,11/03/25,1449.81,,303314.60
